Site Name ,MARIAHO
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,10958


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

148,06/12/2017 , 03:00:00,0,0
149,06/12/2017 , 03:15:00,0,0
150,06/12/2017 , 03:30:00,0,0
151,06/12/2017 , 03:45:00,0,0
152,06/12/2017 , 04:00:00,0,0
153,06/12/2017 , 04:15:00,0,0
154,06/12/2017 , 04:30:00,0,0
155,06/12/2017 , 04:45:00,0,0
156,06/12/2017 , 05:00:00,0,0
157,06/12/2017 , 05:15:00,0,0
158,06/12/2017 , 05:30:00,0,0
159,06/12/2017 , 05:45:00,0,0
160,06/12/2017 , 06:00:00,0,0
161,06/12/2017 , 06:15:00,0,0
162,06/12/2017 , 06:30:00,0,0
163,06/12/2017 , 06:45:00,0,0
164,06/12/2017 , 07:00:00,0,0
165,06/12/2017 , 07:15:00,4,4
166,06/12/2017 , 07:30:00,21,21
167,06/12/2017 , 07:45:00,51,51
168,06/12/2017 , 08:00:00,70,70
169,06/12/2017 , 08:15:00,65,65
170,06/12/2017 , 08:30:00,115,115
171,06/12/2017 , 08:45:00,164,164
172,06/12/2017 , 09:00:00,181,181
173,06/12/2017 , 09:15:00,137,137
174,06/12/2017 , 09:30:00,175,175
175,06/12/2017 , 09:45:00,262,262
176,06/12/2017 , 10:00:00,223,223
177,06/12/2017 , 10:15:00,220,220
178,06/12/2017 , 10:30:00,497,497
179,06/12/2017 , 10:45:00,527,527
180,06/12/2017 , 11:00:00,369,369
181,06/12/2017 , 11:15:00,511,511
182,06/12/2017 , 11:30:00,627,627
183,06/12/2017 , 11:45:00,563,563
184,06/12/2017 , 12:00:00,660,660
185,06/12/2017 , 12:15:00,658,658
186,06/12/2017 , 12:30:00,610,610
187,06/12/2017 , 12:45:00,543,543
188,06/12/2017 , 13:00:00,629,629
189,06/12/2017 , 13:15:00,618,618
190,06/12/2017 , 13:30:00,600,600
191,06/12/2017 , 13:45:00,563,563
192,06/12/2017 , 14:00:00,497,497
193,06/12/2017 , 14:15:00,494,494
194,06/12/2017 , 14:30:00,424,424
195,06/12/2017 , 14:45:00,366,366
196,06/12/2017 , 15:00:00,400,400
197,06/12/2017 , 15:15:00,288,288
198,06/12/2017 , 15:30:00,233,233
199,06/12/2017 , 15:45:00,162,162
200,06/12/2017 , 16:00:00,130,130
201,06/12/2017 , 16:15:00,168,168
202,06/12/2017 , 16:30:00,94,94
203,06/12/2017 , 16:45:00,75,75
204,06/12/2017 , 17:00:00,63,63
205,06/12/2017 , 17:15:00,50,50
206,06/12/2017 , 17:30:00,25,25
207,06/12/2017 , 17:45:00,4,4
208,06/12/2017 , 18:00:00,0,0
209,06/12/2017 , 18:15:00,0,0
210,06/12/2017 , 18:30:00,0,0
211,06/12/2017 , 18:45:00,0,0
212,06/12/2017 , 19:00:00,0,0
213,06/12/2017 , 19:15:00,0,0
214,06/12/2017 , 19:30:00,0,0
215,06/12/2017 , 19:45:00,0,0
216,06/12/2017 , 20:00:00,0,0
217,06/12/2017 , 20:15:00,0,0
218,06/12/2017 , 20:30:00,0,0
219,06/12/2017 , 20:45:00,0,0
220,06/12/2017 , 21:00:00,0,0
221,06/12/2017 , 21:15:00,0,0
222,06/12/2017 , 21:30:00,0,0
223,06/12/2017 , 21:45:00,0,0
224,06/12/2017 , 22:00:00,0,0
225,06/12/2017 , 22:15:00,0,0
226,06/12/2017 , 22:30:00,0,0
227,06/12/2017 , 22:45:00,0,0
228,06/12/2017 , 23:00:00,0,0
229,06/12/2017 , 23:15:00,0,0
230,06/12/2017 , 23:30:00,0,0
231,06/12/2017 , 23:45:00,0,0
