Site Name ,MARIAHO
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,10956


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/10/2017 , 14:15:00,0,0
2,22/10/2017 , 14:30:00,0,0
3,22/10/2017 , 14:45:00,161,161
4,22/10/2017 , 15:00:00,10993,10993
5,22/10/2017 , 15:15:00,10183,10183
6,22/10/2017 , 15:30:00,7062,7062
7,22/10/2017 , 15:45:00,6751,6751
8,22/10/2017 , 16:00:00,4392,4392
9,22/10/2017 , 16:15:00,264,264
10,22/10/2017 , 16:30:00,121,121
11,22/10/2017 , 16:45:00,107,107
12,22/10/2017 , 17:00:00,145,145
13,22/10/2017 , 17:15:00,115,115
14,22/10/2017 , 17:30:00,58,58
15,22/10/2017 , 17:45:00,23,23
16,22/10/2017 , 18:00:00,9,9
17,22/10/2017 , 18:15:00,0,0
18,22/10/2017 , 18:30:00,0,0
19,22/10/2017 , 18:45:00,0,0
20,22/10/2017 , 19:00:00,0,0
21,22/10/2017 , 19:15:00,0,0
22,22/10/2017 , 19:30:00,0,0
23,22/10/2017 , 19:45:00,0,0
24,22/10/2017 , 20:00:00,0,0
25,22/10/2017 , 20:15:00,0,0
26,22/10/2017 , 20:30:00,0,0
27,22/10/2017 , 20:45:00,0,0
28,22/10/2017 , 21:00:00,0,0
29,22/10/2017 , 21:15:00,0,0
30,22/10/2017 , 21:30:00,0,0
31,22/10/2017 , 21:45:00,0,0
32,22/10/2017 , 22:00:00,0,0
33,22/10/2017 , 22:15:00,0,0
34,22/10/2017 , 22:30:00,0,0
35,22/10/2017 , 22:45:00,0,0
36,22/10/2017 , 23:00:00,0,0
37,22/10/2017 , 23:15:00,0,0
38,22/10/2017 , 23:30:00,0,0
39,22/10/2017 , 23:45:00,0,0
40,22/10/2017 , 24:00:00,0,0
41,23/10/2017 , 00:15:00,0,0
42,23/10/2017 , 00:30:00,0,0
43,23/10/2017 , 00:45:00,0,0
44,23/10/2017 , 01:00:00,0,0
45,23/10/2017 , 01:15:00,0,0
46,23/10/2017 , 01:30:00,0,0
47,23/10/2017 , 01:45:00,0,0
48,23/10/2017 , 02:00:00,0,0
49,23/10/2017 , 02:15:00,0,0
50,23/10/2017 , 02:30:00,0,0
51,23/10/2017 , 02:45:00,0,0
52,23/10/2017 , 03:00:00,0,0
53,23/10/2017 , 03:15:00,0,0
54,23/10/2017 , 03:30:00,0,0
55,23/10/2017 , 03:45:00,0,0
56,23/10/2017 , 04:00:00,0,0
57,23/10/2017 , 04:15:00,0,0
58,23/10/2017 , 04:30:00,0,0
59,23/10/2017 , 04:45:00,0,0
60,23/10/2017 , 05:00:00,0,0
61,23/10/2017 , 05:15:00,0,0
62,23/10/2017 , 05:30:00,0,0
63,23/10/2017 , 05:45:00,0,0
64,23/10/2017 , 06:00:00,0,0
65,23/10/2017 , 06:15:00,0,0
66,23/10/2017 , 06:30:00,0,0
67,23/10/2017 , 06:45:00,8,8
68,23/10/2017 , 07:00:00,23,23
69,23/10/2017 , 07:15:00,55,55
70,23/10/2017 , 07:30:00,100,100
71,23/10/2017 , 07:45:00,103,103
72,23/10/2017 , 08:00:00,171,171
73,23/10/2017 , 08:15:00,237,237
74,23/10/2017 , 08:30:00,185,185
75,23/10/2017 , 08:45:00,256,256
76,23/10/2017 , 09:00:00,309,309
77,23/10/2017 , 09:15:00,288,288
78,23/10/2017 , 09:30:00,288,288
79,23/10/2017 , 09:45:00,261,261
80,23/10/2017 , 10:00:00,374,374
81,23/10/2017 , 10:15:00,361,361
82,23/10/2017 , 10:30:00,274,274
83,23/10/2017 , 10:45:00,224,224
84,23/10/2017 , 11:00:00,140,140
85,23/10/2017 , 11:15:00,169,169
86,23/10/2017 , 11:30:00,152,152
87,23/10/2017 , 11:45:00,130,130
88,23/10/2017 , 12:00:00,101,101
89,23/10/2017 , 12:15:00,155,155
90,23/10/2017 , 12:30:00,127,127
91,23/10/2017 , 12:45:00,59,59
92,23/10/2017 , 13:00:00,71,71
93,23/10/2017 , 13:15:00,78,78
94,23/10/2017 , 13:30:00,61,61
95,23/10/2017 , 13:45:00,44,44
96,23/10/2017 , 14:00:00,23,23
97,23/10/2017 , 14:15:00,22,22
98,23/10/2017 , 14:30:00,17,17
99,23/10/2017 , 14:45:00,18,18
100,23/10/2017 , 15:00:00,18,18
101,23/10/2017 , 15:15:00,21,21
102,23/10/2017 , 15:30:00,18,18
103,23/10/2017 , 15:45:00,16,16
104,23/10/2017 , 16:00:00,17,17
105,23/10/2017 , 16:15:00,14,14
106,23/10/2017 , 16:30:00,13,13
107,23/10/2017 , 16:45:00,11,11
108,23/10/2017 , 17:00:00,11,11
109,23/10/2017 , 17:15:00,13,13
110,23/10/2017 , 17:30:00,9,9
111,23/10/2017 , 17:45:00,3,3
112,23/10/2017 , 18:00:00,0,0
