Site Name ,MARIAHO,,,
Site Number ,2,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,10956,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
162,6/12/17, 06:30:00,0,0
163,6/12/17, 06:45:00,0,0
164,6/12/17, 07:00:00,0,0
165,6/12/17, 07:15:00,10,10
166,6/12/17, 07:30:00,27,27
167,6/12/17, 07:45:00,63,63
168,6/12/17, 08:00:00,78,78
169,6/12/17, 08:15:00,72,72
170,6/12/17, 08:30:00,132,132
171,6/12/17, 08:45:00,166,166
172,6/12/17, 09:00:00,171,171
173,6/12/17, 09:15:00,150,150
174,6/12/17, 09:30:00,170,170
175,6/12/17, 09:45:00,194,194
176,6/12/17, 10:00:00,209,209
177,6/12/17, 10:15:00,243,243
178,6/12/17, 10:30:00,432,432
179,6/12/17, 10:45:00,395,395
180,6/12/17, 11:00:00,274,274
181,6/12/17, 11:15:00,359,359
182,6/12/17, 11:30:00,351,351
183,6/12/17, 11:45:00,417,417
184,6/12/17, 12:00:00,527,527
185,6/12/17, 12:15:00,588,588
186,6/12/17, 12:30:00,583,583
187,6/12/17, 12:45:00,588,588
188,6/12/17, 13:00:00,718,718
189,6/12/17, 13:15:00,740,740
190,6/12/17, 13:30:00,768,768
191,6/12/17, 13:45:00,1053,1053
192,6/12/17, 14:00:00,688,688
193,6/12/17, 14:15:00,603,603
194,6/12/17, 14:30:00,608,608
195,6/12/17, 14:45:00,586,586
196,6/12/17, 15:00:00,660,660
197,6/12/17, 15:15:00,490,490
198,6/12/17, 15:30:00,315,315
199,6/12/17, 15:45:00,230,230
200,6/12/17, 16:00:00,180,180
201,6/12/17, 16:15:00,187,187
202,6/12/17, 16:30:00,142,142
203,6/12/17, 16:45:00,116,116
204,6/12/17, 17:00:00,93,93
205,6/12/17, 17:15:00,74,74
206,6/12/17, 17:30:00,42,42
207,6/12/17, 17:45:00,13,13
208,6/12/17, 18:00:00,2,2
209,6/12/17, 18:15:00,0,0
210,6/12/17, 18:30:00,0,0
211,6/12/17, 18:45:00,0,0
212,6/12/17, 19:00:00,0,0
213,6/12/17, 19:15:00,0,0
214,6/12/17, 19:30:00,0,0
215,6/12/17, 19:45:00,0,0
216,6/12/17, 20:00:00,0,0
217,6/12/17, 20:15:00,0,0
218,6/12/17, 20:30:00,0,0
219,6/12/17, 20:45:00,0,0
220,6/12/17, 21:00:00,0,0
221,6/12/17, 21:15:00,0,0
222,6/12/17, 21:30:00,0,0
223,6/12/17, 21:45:00,0,0
224,6/12/17, 22:00:00,0,0
225,6/12/17, 22:15:00,0,0
226,6/12/17, 22:30:00,0,0
