Site Name ,MARIAHO
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,10958


Scan No ,Date and Time,       Integrating Light,        ,
113,23/10/2017 , 18:15:00,0,0
114,23/10/2017 , 18:30:00,0,0
115,23/10/2017 , 18:45:00,0,0
116,23/10/2017 , 19:00:00,0,0
117,23/10/2017 , 19:15:00,0,0
118,23/10/2017 , 19:30:00,0,0
119,23/10/2017 , 19:45:00,0,0
120,23/10/2017 , 20:00:00,0,0
121,23/10/2017 , 20:15:00,0,0
122,23/10/2017 , 20:30:00,0,0
123,23/10/2017 , 20:45:00,0,0
124,23/10/2017 , 21:00:00,0,0
125,23/10/2017 , 21:15:00,0,0
126,23/10/2017 , 21:30:00,0,0
127,23/10/2017 , 21:45:00,0,0
128,23/10/2017 , 22:00:00,0,0
129,23/10/2017 , 22:15:00,0,0
130,23/10/2017 , 22:30:00,0,0
131,23/10/2017 , 22:45:00,0,0
132,23/10/2017 , 23:00:00,0,0
133,23/10/2017 , 23:15:00,0,0
134,23/10/2017 , 23:30:00,0,0
135,23/10/2017 , 23:45:00,0,0
136,23/10/2017 , 24:00:00,0,0
137,24/10/2017 , 00:15:00,0,0
138,24/10/2017 , 00:30:00,0,0
139,24/10/2017 , 00:45:00,0,0
140,24/10/2017 , 01:00:00,0,0
141,24/10/2017 , 01:15:00,0,0
142,24/10/2017 , 01:30:00,0,0
143,24/10/2017 , 01:45:00,0,0
144,24/10/2017 , 02:00:00,0,0
145,24/10/2017 , 02:15:00,0,0
146,24/10/2017 , 02:30:00,0,0
147,24/10/2017 , 02:45:00,0,0
148,24/10/2017 , 03:00:00,0,0
149,24/10/2017 , 03:15:00,0,0
150,24/10/2017 , 03:30:00,0,0
151,24/10/2017 , 03:45:00,0,0
152,24/10/2017 , 04:00:00,0,0
153,24/10/2017 , 04:15:00,0,0
154,24/10/2017 , 04:30:00,0,0
155,24/10/2017 , 04:45:00,0,0
156,24/10/2017 , 05:00:00,0,0
157,24/10/2017 , 05:15:00,0,0
158,24/10/2017 , 05:30:00,0,0
159,24/10/2017 , 05:45:00,0,0
160,24/10/2017 , 06:00:00,0,0
161,24/10/2017 , 06:15:00,0,0
162,24/10/2017 , 06:30:00,0,0
163,24/10/2017 , 06:45:00,0,0
164,24/10/2017 , 07:00:00,2,2
165,24/10/2017 , 07:15:00,10,10
166,24/10/2017 , 07:30:00,35,35
167,24/10/2017 , 07:45:00,66,66
168,24/10/2017 , 08:00:00,93,93
169,24/10/2017 , 08:15:00,87,87
170,24/10/2017 , 08:30:00,94,94
171,24/10/2017 , 08:45:00,216,216
172,24/10/2017 , 09:00:00,319,319
173,24/10/2017 , 09:15:00,357,357
174,24/10/2017 , 09:30:00,293,293
175,24/10/2017 , 09:45:00,356,356
176,24/10/2017 , 10:00:00,398,398
177,24/10/2017 , 10:15:00,604,604
178,24/10/2017 , 10:30:00,610,610
179,24/10/2017 , 10:45:00,751,751
180,24/10/2017 , 11:00:00,914,914
181,24/10/2017 , 11:15:00,1040,1040
182,24/10/2017 , 11:30:00,1033,1033
183,24/10/2017 , 11:45:00,889,889
184,24/10/2017 , 12:00:00,867,867
185,24/10/2017 , 12:15:00,776,776
186,24/10/2017 , 12:30:00,935,935
187,24/10/2017 , 12:45:00,751,751
188,24/10/2017 , 13:00:00,628,628
189,24/10/2017 , 13:15:00,334,334
190,24/10/2017 , 13:30:00,1751,1751
191,24/10/2017 , 13:45:00,953,953
192,24/10/2017 , 14:00:00,212,212
193,24/10/2017 , 14:15:00,231,231
194,24/10/2017 , 14:30:00,669,669
195,24/10/2017 , 14:45:00,568,568
196,24/10/2017 , 15:00:00,459,459
197,24/10/2017 , 15:15:00,315,315
198,24/10/2017 , 15:30:00,262,262
199,24/10/2017 , 15:45:00,154,154
200,24/10/2017 , 16:00:00,172,172
201,24/10/2017 , 16:15:00,110,110
202,24/10/2017 , 16:30:00,99,99
203,24/10/2017 , 16:45:00,76,76
204,24/10/2017 , 17:00:00,59,59
205,24/10/2017 , 17:15:00,44,44
206,24/10/2017 , 17:30:00,20,20
207,24/10/2017 , 17:45:00,11,11
208,24/10/2017 , 18:00:00,3,3
209,24/10/2017 , 18:15:00,0,0
210,24/10/2017 , 18:30:00,0,0
211,24/10/2017 , 18:45:00,0,0
212,24/10/2017 , 19:00:00,0,0
213,24/10/2017 , 19:15:00,0,0
214,24/10/2017 , 19:30:00,0,0
215,24/10/2017 , 19:45:00,0,0
216,24/10/2017 , 20:00:00,0,0
217,24/10/2017 , 20:15:00,0,0
218,24/10/2017 , 20:30:00,0,0
219,24/10/2017 , 20:45:00,0,0
220,24/10/2017 , 21:00:00,0,0
221,24/10/2017 , 21:15:00,0,0
222,24/10/2017 , 21:30:00,0,0
223,24/10/2017 , 21:45:00,0,0
224,24/10/2017 , 22:00:00,0,0
225,24/10/2017 , 22:15:00,0,0
226,24/10/2017 , 22:30:00,0,0
227,24/10/2017 , 22:45:00,0,0
228,24/10/2017 , 23:00:00,0,0
229,24/10/2017 , 23:15:00,0,0
230,24/10/2017 , 23:30:00,0,0
231,24/10/2017 , 23:45:00,0,0
232,24/10/2017 , 24:00:00,0,0
233,25/10/2017 , 00:15:00,0,0
234,25/10/2017 , 00:30:00,0,0
235,25/10/2017 , 00:45:00,0,0
236,25/10/2017 , 01:00:00,0,0
237,25/10/2017 , 01:15:00,0,0
238,25/10/2017 , 01:30:00,0,0
239,25/10/2017 , 01:45:00,0,0
240,25/10/2017 , 02:00:00,0,0
241,25/10/2017 , 02:15:00,0,0
242,25/10/2017 , 02:30:00,0,0
243,25/10/2017 , 02:45:00,0,0
244,25/10/2017 , 03:00:00,0,0
245,25/10/2017 , 03:15:00,0,0
246,25/10/2017 , 03:30:00,0,0
247,25/10/2017 , 03:45:00,0,0
248,25/10/2017 , 04:00:00,0,0
249,25/10/2017 , 04:15:00,0,0
250,25/10/2017 , 04:30:00,0,0
251,25/10/2017 , 04:45:00,0,0
252,25/10/2017 , 05:00:00,0,0
253,25/10/2017 , 05:15:00,0,0
254,25/10/2017 , 05:30:00,0,0
255,25/10/2017 , 05:45:00,0,0
256,25/10/2017 , 06:00:00,0,0
257,25/10/2017 , 06:15:00,0,0
258,25/10/2017 , 06:30:00,0,0
259,25/10/2017 , 06:45:00,0,0
260,25/10/2017 , 07:00:00,2,2
261,25/10/2017 , 07:15:00,10,10
262,25/10/2017 , 07:30:00,20,20
263,25/10/2017 , 07:45:00,20,20
264,25/10/2017 , 08:00:00,44,44
265,25/10/2017 , 08:15:00,56,56
266,25/10/2017 , 08:30:00,123,123
267,25/10/2017 , 08:45:00,121,121
268,25/10/2017 , 09:00:00,104,104
269,25/10/2017 , 09:15:00,131,131
270,25/10/2017 , 09:30:00,206,206
271,25/10/2017 , 09:45:00,293,293
272,25/10/2017 , 10:00:00,335,335
273,25/10/2017 , 10:15:00,363,363
274,25/10/2017 , 10:30:00,717,717
275,25/10/2017 , 10:45:00,774,774
276,25/10/2017 , 11:00:00,596,596
277,25/10/2017 , 11:15:00,473,473
278,25/10/2017 , 11:30:00,375,375
279,25/10/2017 , 11:45:00,353,353
280,25/10/2017 , 12:00:00,465,465
281,25/10/2017 , 12:15:00,440,440
282,25/10/2017 , 12:30:00,464,464
283,25/10/2017 , 12:45:00,335,335
284,25/10/2017 , 13:00:00,207,207
285,25/10/2017 , 13:15:00,184,184
286,25/10/2017 , 13:30:00,342,342
287,25/10/2017 , 13:45:00,174,174
288,25/10/2017 , 14:00:00,205,205
289,25/10/2017 , 14:15:00,136,136
290,25/10/2017 , 14:30:00,67,67
291,25/10/2017 , 14:45:00,247,247
292,25/10/2017 , 15:00:00,89,89
293,25/10/2017 , 15:15:00,62,62
294,25/10/2017 , 15:30:00,53,53
295,25/10/2017 , 15:45:00,39,39
296,25/10/2017 , 16:00:00,38,38
297,25/10/2017 , 16:15:00,56,56
298,25/10/2017 , 16:30:00,53,53
299,25/10/2017 , 16:45:00,28,28
300,25/10/2017 , 17:00:00,21,21
301,25/10/2017 , 17:15:00,15,15
302,25/10/2017 , 17:30:00,16,16
303,25/10/2017 , 17:45:00,7,7
304,25/10/2017 , 18:00:00,1,1
305,25/10/2017 , 18:15:00,0,0
306,25/10/2017 , 18:30:00,0,0
307,25/10/2017 , 18:45:00,0,0
308,25/10/2017 , 19:00:00,0,0
309,25/10/2017 , 19:15:00,0,0
310,25/10/2017 , 19:30:00,0,0
311,25/10/2017 , 19:45:00,0,0
312,25/10/2017 , 20:00:00,0,0
313,25/10/2017 , 20:15:00,0,0
314,25/10/2017 , 20:30:00,0,0
315,25/10/2017 , 20:45:00,0,0
316,25/10/2017 , 21:00:00,0,0
317,25/10/2017 , 21:15:00,0,0
318,25/10/2017 , 21:30:00,0,0
319,25/10/2017 , 21:45:00,0,0
320,25/10/2017 , 22:00:00,0,0
321,25/10/2017 , 22:15:00,0,0
322,25/10/2017 , 22:30:00,0,0
323,25/10/2017 , 22:45:00,0,0
324,25/10/2017 , 23:00:00,0,0
325,25/10/2017 , 23:15:00,0,0
326,25/10/2017 , 23:30:00,0,0
327,25/10/2017 , 23:45:00,0,0
328,25/10/2017 , 24:00:00,0,0
329,26/10/2017 , 00:15:00,0,0
330,26/10/2017 , 00:30:00,0,0
331,26/10/2017 , 00:45:00,0,0
332,26/10/2017 , 01:00:00,0,0
333,26/10/2017 , 01:15:00,0,0
334,26/10/2017 , 01:30:00,0,0
335,26/10/2017 , 01:45:00,0,0
336,26/10/2017 , 02:00:00,0,0
337,26/10/2017 , 02:15:00,0,0
338,26/10/2017 , 02:30:00,0,0
339,26/10/2017 , 02:45:00,0,0
340,26/10/2017 , 03:00:00,0,0
341,26/10/2017 , 03:15:00,0,0
342,26/10/2017 , 03:30:00,0,0
343,26/10/2017 , 03:45:00,0,0
344,26/10/2017 , 04:00:00,0,0
345,26/10/2017 , 04:15:00,0,0
346,26/10/2017 , 04:30:00,0,0
347,26/10/2017 , 04:45:00,0,0
348,26/10/2017 , 05:00:00,0,0
349,26/10/2017 , 05:15:00,0,0
350,26/10/2017 , 05:30:00,0,0
351,26/10/2017 , 05:45:00,0,0
352,26/10/2017 , 06:00:00,0,0
353,26/10/2017 , 06:15:00,0,0
354,26/10/2017 , 06:30:00,0,0
355,26/10/2017 , 06:45:00,3,3
356,26/10/2017 , 07:00:00,18,18
357,26/10/2017 , 07:15:00,25,25
358,26/10/2017 , 07:30:00,28,28
359,26/10/2017 , 07:45:00,84,84
360,26/10/2017 , 08:00:00,47,47
361,26/10/2017 , 08:15:00,50,50
362,26/10/2017 , 08:30:00,100,100
363,26/10/2017 , 08:45:00,207,207
364,26/10/2017 , 09:00:00,150,150
365,26/10/2017 , 09:15:00,135,135
366,26/10/2017 , 09:30:00,227,227
367,26/10/2017 , 09:45:00,286,286
368,26/10/2017 , 10:00:00,287,287
369,26/10/2017 , 10:15:00,401,401
370,26/10/2017 , 10:30:00,507,507
371,26/10/2017 , 10:45:00,705,705
372,26/10/2017 , 11:00:00,813,813
373,26/10/2017 , 11:15:00,837,837
374,26/10/2017 , 11:30:00,908,908
375,26/10/2017 , 11:45:00,862,862
376,26/10/2017 , 12:00:00,804,804
377,26/10/2017 , 12:15:00,790,790
378,26/10/2017 , 12:30:00,726,726
379,26/10/2017 , 12:45:00,965,965
380,26/10/2017 , 13:00:00,808,808
381,26/10/2017 , 13:15:00,958,958
382,26/10/2017 , 13:30:00,1174,1174
383,26/10/2017 , 13:45:00,1711,1711
384,26/10/2017 , 14:00:00,1436,1436
385,26/10/2017 , 14:15:00,748,748
386,26/10/2017 , 14:30:00,658,658
387,26/10/2017 , 14:45:00,507,507
388,26/10/2017 , 15:00:00,324,324
389,26/10/2017 , 15:15:00,330,330
390,26/10/2017 , 15:30:00,238,238
391,26/10/2017 , 15:45:00,171,171
392,26/10/2017 , 16:00:00,128,128
393,26/10/2017 , 16:15:00,107,107
394,26/10/2017 , 16:30:00,94,94
395,26/10/2017 , 16:45:00,60,60
396,26/10/2017 , 17:00:00,25,25
397,26/10/2017 , 17:15:00,18,18
398,26/10/2017 , 17:30:00,14,14
399,26/10/2017 , 17:45:00,10,10
400,26/10/2017 , 18:00:00,3,3
401,26/10/2017 , 18:15:00,0,0
402,26/10/2017 , 18:30:00,0,0
403,26/10/2017 , 18:45:00,0,0
404,26/10/2017 , 19:00:00,0,0
405,26/10/2017 , 19:15:00,0,0
406,26/10/2017 , 19:30:00,0,0
407,26/10/2017 , 19:45:00,0,0
408,26/10/2017 , 20:00:00,0,0
409,26/10/2017 , 20:15:00,0,0
410,26/10/2017 , 20:30:00,0,0
411,26/10/2017 , 20:45:00,0,0
412,26/10/2017 , 21:00:00,0,0
413,26/10/2017 , 21:15:00,0,0
414,26/10/2017 , 21:30:00,0,0
415,26/10/2017 , 21:45:00,0,0
416,26/10/2017 , 22:00:00,0,0
417,26/10/2017 , 22:15:00,0,0
418,26/10/2017 , 22:30:00,0,0
419,26/10/2017 , 22:45:00,0,0
420,26/10/2017 , 23:00:00,0,0
421,26/10/2017 , 23:15:00,0,0
422,26/10/2017 , 23:30:00,0,0
423,26/10/2017 , 23:45:00,0,0
424,26/10/2017 , 24:00:00,0,0
425,27/10/2017 , 00:15:00,0,0
426,27/10/2017 , 00:30:00,0,0
427,27/10/2017 , 00:45:00,0,0
428,27/10/2017 , 01:00:00,0,0
429,27/10/2017 , 01:15:00,0,0
430,27/10/2017 , 01:30:00,0,0
431,27/10/2017 , 01:45:00,0,0
432,27/10/2017 , 02:00:00,0,0
433,27/10/2017 , 02:15:00,0,0
434,27/10/2017 , 02:30:00,0,0
435,27/10/2017 , 02:45:00,0,0
436,27/10/2017 , 03:00:00,0,0
437,27/10/2017 , 03:15:00,0,0
438,27/10/2017 , 03:30:00,0,0
439,27/10/2017 , 03:45:00,0,0
440,27/10/2017 , 04:00:00,0,0
441,27/10/2017 , 04:15:00,0,0
442,27/10/2017 , 04:30:00,0,0
443,27/10/2017 , 04:45:00,0,0
444,27/10/2017 , 05:00:00,0,0
445,27/10/2017 , 05:15:00,0,0
446,27/10/2017 , 05:30:00,0,0
447,27/10/2017 , 05:45:00,0,0
448,27/10/2017 , 06:00:00,0,0
449,27/10/2017 , 06:15:00,0,0
450,27/10/2017 , 06:30:00,0,0
451,27/10/2017 , 06:45:00,2,2
452,27/10/2017 , 07:00:00,10,10
453,27/10/2017 , 07:15:00,15,15
454,27/10/2017 , 07:30:00,22,22
455,27/10/2017 , 07:45:00,34,34
456,27/10/2017 , 08:00:00,56,56
457,27/10/2017 , 08:15:00,85,85
458,27/10/2017 , 08:30:00,56,56
459,27/10/2017 , 08:45:00,191,191
460,27/10/2017 , 09:00:00,191,191
461,27/10/2017 , 09:15:00,185,185
462,27/10/2017 , 09:30:00,160,160
463,27/10/2017 , 09:45:00,240,240
464,27/10/2017 , 10:00:00,300,300
465,27/10/2017 , 10:15:00,391,391
466,27/10/2017 , 10:30:00,500,500
467,27/10/2017 , 10:45:00,608,608
468,27/10/2017 , 11:00:00,743,743
469,27/10/2017 , 11:15:00,855,855
470,27/10/2017 , 11:30:00,872,872
471,27/10/2017 , 11:45:00,825,825
472,27/10/2017 , 12:00:00,673,673
473,27/10/2017 , 12:15:00,383,383
474,27/10/2017 , 12:30:00,563,563
475,27/10/2017 , 12:45:00,672,672
476,27/10/2017 , 13:00:00,618,618
477,27/10/2017 , 13:15:00,538,538
478,27/10/2017 , 13:30:00,495,495
479,27/10/2017 , 13:45:00,368,368
480,27/10/2017 , 14:00:00,659,659
481,27/10/2017 , 14:15:00,800,800
482,27/10/2017 , 14:30:00,598,598
483,27/10/2017 , 14:45:00,370,370
484,27/10/2017 , 15:00:00,414,414
485,27/10/2017 , 15:15:00,329,329
486,27/10/2017 , 15:30:00,232,232
487,27/10/2017 , 15:45:00,164,164
488,27/10/2017 , 16:00:00,131,131
489,27/10/2017 , 16:15:00,104,104
490,27/10/2017 , 16:30:00,92,92
491,27/10/2017 , 16:45:00,66,66
492,27/10/2017 , 17:00:00,55,55
493,27/10/2017 , 17:15:00,42,42
494,27/10/2017 , 17:30:00,32,32
495,27/10/2017 , 17:45:00,18,18
496,27/10/2017 , 18:00:00,4,4
497,27/10/2017 , 18:15:00,0,0
498,27/10/2017 , 18:30:00,0,0
499,27/10/2017 , 18:45:00,0,0
500,27/10/2017 , 19:00:00,0,0
501,27/10/2017 , 19:15:00,0,0
502,27/10/2017 , 19:30:00,0,0
503,27/10/2017 , 19:45:00,0,0
504,27/10/2017 , 20:00:00,0,0
505,27/10/2017 , 20:15:00,0,0
506,27/10/2017 , 20:30:00,0,0
507,27/10/2017 , 20:45:00,0,0
508,27/10/2017 , 21:00:00,0,0
509,27/10/2017 , 21:15:00,0,0
510,27/10/2017 , 21:30:00,0,0
511,27/10/2017 , 21:45:00,0,0
512,27/10/2017 , 22:00:00,0,0
513,27/10/2017 , 22:15:00,0,0
514,27/10/2017 , 22:30:00,0,0
515,27/10/2017 , 22:45:00,0,0
516,27/10/2017 , 23:00:00,0,0
517,27/10/2017 , 23:15:00,0,0
518,27/10/2017 , 23:30:00,0,0
519,27/10/2017 , 23:45:00,0,0
520,27/10/2017 , 24:00:00,0,0
521,28/10/2017 , 00:15:00,0,0
522,28/10/2017 , 00:30:00,0,0
523,28/10/2017 , 00:45:00,0,0
524,28/10/2017 , 01:00:00,0,0
525,28/10/2017 , 01:15:00,0,0
526,28/10/2017 , 01:30:00,0,0
527,28/10/2017 , 01:45:00,0,0
528,28/10/2017 , 02:00:00,0,0
529,28/10/2017 , 02:15:00,0,0
530,28/10/2017 , 02:30:00,0,0
531,28/10/2017 , 02:45:00,0,0
532,28/10/2017 , 03:00:00,0,0
533,28/10/2017 , 03:15:00,0,0
534,28/10/2017 , 03:30:00,0,0
535,28/10/2017 , 03:45:00,0,0
536,28/10/2017 , 04:00:00,0,0
537,28/10/2017 , 04:15:00,0,0
538,28/10/2017 , 04:30:00,0,0
539,28/10/2017 , 04:45:00,0,0
540,28/10/2017 , 05:00:00,0,0
541,28/10/2017 , 05:15:00,0,0
542,28/10/2017 , 05:30:00,0,0
543,28/10/2017 , 05:45:00,0,0
544,28/10/2017 , 06:00:00,0,0
545,28/10/2017 , 06:15:00,0,0
546,28/10/2017 , 06:30:00,0,0
547,28/10/2017 , 06:45:00,1,1
548,28/10/2017 , 07:00:00,7,7
549,28/10/2017 , 07:15:00,15,15
550,28/10/2017 , 07:30:00,20,20
551,28/10/2017 , 07:45:00,25,25
552,28/10/2017 , 08:00:00,31,31
553,28/10/2017 , 08:15:00,40,40
554,28/10/2017 , 08:30:00,100,100
555,28/10/2017 , 08:45:00,235,235
556,28/10/2017 , 09:00:00,310,310
557,28/10/2017 , 09:15:00,296,296
558,28/10/2017 , 09:30:00,312,312
559,28/10/2017 , 09:45:00,291,291
560,28/10/2017 , 10:00:00,268,268
561,28/10/2017 , 10:15:00,354,354
562,28/10/2017 , 10:30:00,442,442
563,28/10/2017 , 10:45:00,512,512
564,28/10/2017 , 11:00:00,513,513
565,28/10/2017 , 11:15:00,748,748
566,28/10/2017 , 11:30:00,834,834
567,28/10/2017 , 11:45:00,839,839
568,28/10/2017 , 12:00:00,787,787
569,28/10/2017 , 12:15:00,488,488
570,28/10/2017 , 12:30:00,184,184
571,28/10/2017 , 12:45:00,295,295
572,28/10/2017 , 13:00:00,403,403
573,28/10/2017 , 13:15:00,238,238
574,28/10/2017 , 13:30:00,145,145
575,28/10/2017 , 13:45:00,58,58
576,28/10/2017 , 14:00:00,68,68
577,28/10/2017 , 14:15:00,58,58
578,28/10/2017 , 14:30:00,53,53
579,28/10/2017 , 14:45:00,32,32
580,28/10/2017 , 15:00:00,60,60
581,28/10/2017 , 15:15:00,81,81
582,28/10/2017 , 15:30:00,49,49
583,28/10/2017 , 15:45:00,41,41
584,28/10/2017 , 16:00:00,59,59
585,28/10/2017 , 16:15:00,37,37
586,28/10/2017 , 16:30:00,24,24
587,28/10/2017 , 16:45:00,29,29
588,28/10/2017 , 17:00:00,23,23
589,28/10/2017 , 17:15:00,10,10
590,28/10/2017 , 17:30:00,3,3
591,28/10/2017 , 17:45:00,2,2
592,28/10/2017 , 18:00:00,0,0
593,28/10/2017 , 18:15:00,0,0
594,28/10/2017 , 18:30:00,0,0
595,28/10/2017 , 18:45:00,0,0
596,28/10/2017 , 19:00:00,0,0
597,28/10/2017 , 19:15:00,0,0
598,28/10/2017 , 19:30:00,0,0
599,28/10/2017 , 19:45:00,0,0
600,28/10/2017 , 20:00:00,0,0
601,28/10/2017 , 20:15:00,0,0
602,28/10/2017 , 20:30:00,0,0
603,28/10/2017 , 20:45:00,0,0
604,28/10/2017 , 21:00:00,0,0
605,28/10/2017 , 21:15:00,0,0
606,28/10/2017 , 21:30:00,0,0
607,28/10/2017 , 21:45:00,0,0
608,28/10/2017 , 22:00:00,0,0
609,28/10/2017 , 22:15:00,0,0
610,28/10/2017 , 22:30:00,0,0
611,28/10/2017 , 22:45:00,0,0
612,28/10/2017 , 23:00:00,0,0
613,28/10/2017 , 23:15:00,0,0
614,28/10/2017 , 23:30:00,0,0
615,28/10/2017 , 23:45:00,0,0
616,28/10/2017 , 24:00:00,0,0
617,29/10/2017 , 00:15:00,0,0
618,29/10/2017 , 00:30:00,0,0
619,29/10/2017 , 00:45:00,0,0
620,29/10/2017 , 01:00:00,0,0
621,29/10/2017 , 01:15:00,0,0
622,29/10/2017 , 01:30:00,0,0
623,29/10/2017 , 01:45:00,0,0
624,29/10/2017 , 02:00:00,0,0
625,29/10/2017 , 02:15:00,0,0
626,29/10/2017 , 02:30:00,0,0
627,29/10/2017 , 02:45:00,0,0
628,29/10/2017 , 03:00:00,0,0
629,29/10/2017 , 03:15:00,0,0
630,29/10/2017 , 03:30:00,0,0
631,29/10/2017 , 03:45:00,0,0
632,29/10/2017 , 04:00:00,0,0
633,29/10/2017 , 04:15:00,0,0
634,29/10/2017 , 04:30:00,0,0
635,29/10/2017 , 04:45:00,0,0
636,29/10/2017 , 05:00:00,0,0
637,29/10/2017 , 05:15:00,0,0
638,29/10/2017 , 05:30:00,0,0
639,29/10/2017 , 05:45:00,0,0
640,29/10/2017 , 06:00:00,0,0
641,29/10/2017 , 06:15:00,0,0
642,29/10/2017 , 06:30:00,0,0
643,29/10/2017 , 06:45:00,0,0
644,29/10/2017 , 07:00:00,6,6
645,29/10/2017 , 07:15:00,14,14
646,29/10/2017 , 07:30:00,23,23
647,29/10/2017 , 07:45:00,26,26
648,29/10/2017 , 08:00:00,52,52
649,29/10/2017 , 08:15:00,80,80
650,29/10/2017 , 08:30:00,109,109
651,29/10/2017 , 08:45:00,165,165
652,29/10/2017 , 09:00:00,153,153
653,29/10/2017 , 09:15:00,202,202
654,29/10/2017 , 09:30:00,218,218
655,29/10/2017 , 09:45:00,200,200
656,29/10/2017 , 10:00:00,250,250
657,29/10/2017 , 10:15:00,229,229
