Site Name ,MARIAHO
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,10958


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/10/2017 , 14:15:00,26,26
2,22/10/2017 , 14:30:00,47,47
3,22/10/2017 , 14:45:00,48,48
4,22/10/2017 , 15:00:00,7697,7697
5,22/10/2017 , 15:15:00,7402,7402
6,22/10/2017 , 15:30:00,5671,5671
7,22/10/2017 , 15:45:00,6062,6062
8,22/10/2017 , 16:00:00,2742,2742
9,22/10/2017 , 16:15:00,123,123
10,22/10/2017 , 16:30:00,50,50
11,22/10/2017 , 16:45:00,55,55
12,22/10/2017 , 17:00:00,69,69
13,22/10/2017 , 17:15:00,53,53
14,22/10/2017 , 17:30:00,26,26
15,22/10/2017 , 17:45:00,11,11
16,22/10/2017 , 18:00:00,2,2
17,22/10/2017 , 18:15:00,0,0
18,22/10/2017 , 18:30:00,0,0
19,22/10/2017 , 18:45:00,0,0
20,22/10/2017 , 19:00:00,0,0
21,22/10/2017 , 19:15:00,0,0
22,22/10/2017 , 19:30:00,0,0
23,22/10/2017 , 19:45:00,0,0
24,22/10/2017 , 20:00:00,0,0
25,22/10/2017 , 20:15:00,0,0
26,22/10/2017 , 20:30:00,0,0
27,22/10/2017 , 20:45:00,0,0
28,22/10/2017 , 21:00:00,0,0
29,22/10/2017 , 21:15:00,0,0
30,22/10/2017 , 21:30:00,0,0
31,22/10/2017 , 21:45:00,0,0
32,22/10/2017 , 22:00:00,0,0
33,22/10/2017 , 22:15:00,0,0
34,22/10/2017 , 22:30:00,0,0
35,22/10/2017 , 22:45:00,0,0
36,22/10/2017 , 23:00:00,0,0
37,22/10/2017 , 23:15:00,0,0
38,22/10/2017 , 23:30:00,0,0
39,22/10/2017 , 23:45:00,0,0
40,22/10/2017 , 24:00:00,0,0
41,23/10/2017 , 00:15:00,0,0
42,23/10/2017 , 00:30:00,0,0
43,23/10/2017 , 00:45:00,0,0
44,23/10/2017 , 01:00:00,0,0
45,23/10/2017 , 01:15:00,0,0
46,23/10/2017 , 01:30:00,0,0
47,23/10/2017 , 01:45:00,0,0
48,23/10/2017 , 02:00:00,0,0
49,23/10/2017 , 02:15:00,0,0
50,23/10/2017 , 02:30:00,0,0
51,23/10/2017 , 02:45:00,0,0
52,23/10/2017 , 03:00:00,0,0
53,23/10/2017 , 03:15:00,0,0
54,23/10/2017 , 03:30:00,0,0
55,23/10/2017 , 03:45:00,0,0
56,23/10/2017 , 04:00:00,0,0
57,23/10/2017 , 04:15:00,0,0
58,23/10/2017 , 04:30:00,0,0
59,23/10/2017 , 04:45:00,0,0
60,23/10/2017 , 05:00:00,0,0
61,23/10/2017 , 05:15:00,0,0
62,23/10/2017 , 05:30:00,0,0
63,23/10/2017 , 05:45:00,0,0
64,23/10/2017 , 06:00:00,0,0
65,23/10/2017 , 06:15:00,0,0
66,23/10/2017 , 06:30:00,0,0
67,23/10/2017 , 06:45:00,2,2
68,23/10/2017 , 07:00:00,11,11
69,23/10/2017 , 07:15:00,33,33
70,23/10/2017 , 07:30:00,64,64
71,23/10/2017 , 07:45:00,64,64
72,23/10/2017 , 08:00:00,109,109
73,23/10/2017 , 08:15:00,157,157
74,23/10/2017 , 08:30:00,115,115
75,23/10/2017 , 08:45:00,157,157
76,23/10/2017 , 09:00:00,220,220
77,23/10/2017 , 09:15:00,178,178
78,23/10/2017 , 09:30:00,172,172
79,23/10/2017 , 09:45:00,146,146
80,23/10/2017 , 10:00:00,232,232
81,23/10/2017 , 10:15:00,210,210
82,23/10/2017 , 10:30:00,153,153
83,23/10/2017 , 10:45:00,131,131
84,23/10/2017 , 11:00:00,77,77
85,23/10/2017 , 11:15:00,96,96
86,23/10/2017 , 11:30:00,86,86
87,23/10/2017 , 11:45:00,70,70
88,23/10/2017 , 12:00:00,50,50
89,23/10/2017 , 12:15:00,89,89
90,23/10/2017 , 12:30:00,71,71
91,23/10/2017 , 12:45:00,31,31
92,23/10/2017 , 13:00:00,36,36
93,23/10/2017 , 13:15:00,47,47
94,23/10/2017 , 13:30:00,33,33
95,23/10/2017 , 13:45:00,23,23
96,23/10/2017 , 14:00:00,13,13
97,23/10/2017 , 14:15:00,11,11
98,23/10/2017 , 14:30:00,9,9
99,23/10/2017 , 14:45:00,9,9
100,23/10/2017 , 15:00:00,9,9
101,23/10/2017 , 15:15:00,11,11
102,23/10/2017 , 15:30:00,10,10
103,23/10/2017 , 15:45:00,8,8
104,23/10/2017 , 16:00:00,9,9
105,23/10/2017 , 16:15:00,7,7
106,23/10/2017 , 16:30:00,6,6
107,23/10/2017 , 16:45:00,5,5
108,23/10/2017 , 17:00:00,5,5
109,23/10/2017 , 17:15:00,7,7
110,23/10/2017 , 17:30:00,5,5
111,23/10/2017 , 17:45:00,1,1
112,23/10/2017 , 18:00:00,0,0
